合约编码	合约交易代码	合约简称	标的券名称及代码	类型	行权价	合约单位	期权行权日	行权交收日	到期日	新挂	涨停价格	跌停价格	前结算价	调整	停牌
10000298	510050P1603M02900	50ETF沽3月2900	50ETF(510050)	认沽	2.900	10000	20160323	20160324	20160323	否	0.7427	0.2487	0.4957	否	否
10000460	510050P1606M02150	50ETF沽6月2150	50ETF(510050)	认沽	2.150	10000	20160622	20160623	20160622	否	0.2945	0.0001	0.1115	否	否
10000454	510050P1606M02200	50ETF沽6月2200	50ETF(510050)	认沽	2.200	10000	20160622	20160623	20160622	否	0.3197	0.0001	0.1267	否	否
10000455	510050P1606M02250	50ETF沽6月2250	50ETF(510050)	认沽	2.250	10000	20160622	20160623	20160622	否	0.3499	0.0001	0.1469	否	否
10000456	510050P1606M02300	50ETF沽6月2300	50ETF(510050)	认沽	2.300	10000	20160622	20160623	20160622	否	0.3800	0.0001	0.1670	否	否
10000457	510050P1606M02350	50ETF沽6月2350	50ETF(510050)	认沽	2.350	10000	20160622	20160623	20160622	否	0.4137	0.0001	0.1907	否	否
10000458	510050P1606M02400	50ETF沽6月2400	50ETF(510050)	认沽	2.400	10000	20160622	20160623	20160622	否	0.4446	0.0001	0.2116	否	否
10000465	510050P1606M02450	50ETF沽6月2450	50ETF(510050)	认沽	2.450	10000	20160622	20160623	20160622	否	0.4814	0.0001	0.2384	否	否
10000466	510050P1606M02500	50ETF沽6月2500	50ETF(510050)	认沽	2.500	10000	20160622	20160623	20160622	否	0.5170	0.0230	0.2700	否	否
10000470	510050P1606M02550	50ETF沽6月2550	50ETF(510050)	认沽	2.550	10000	20160622	20160623	20160622	否	0.5430	0.0490	0.2960	否	否
10000474	510050P1606M02600	50ETF沽6月2600	50ETF(510050)	认沽	2.600	10000	20160622	20160623	20160622	否	0.5704	0.0764	0.3234	否	否
10000478	510050P1606M02650	50ETF沽6月2650	50ETF(510050)	认沽	2.650	10000	20160622	20160623	20160622	否	0.6005	0.1065	0.3535	否	否
